CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
K0A,2021A0011K0A,35,Ontario,3072.8212,
K0B,2021A0011K0B,35,Ontario,1223.8974,
K0C,2021A0011K0C,35,Ontario,2470.942,
K0E,2021A0011K0E,35,Ontario,1979.2436,
K0G,2021A0011K0G,35,Ontario,2675.2361,
K0H,2021A0011K0H,35,Ontario,5232.2271,
K0J,2021A0011K0J,35,Ontario,6565.4195,
K0K,2021A0011K0K,35,Ontario,5464.1988,
K0L,2021A0011K0L,35,Ontario,7368.4296,
K0M,2021A0011K0M,35,Ontario,5512.5103,
K1A,2021A0011K1A,35,Ontario,0.5559,
K1B,2021A0011K1B,35,Ontario,10.5811,
K1C,2021A0011K1C,35,Ontario,17.6679,
K1E,2021A0011K1E,35,Ontario,6.5016,
K1G,2021A0011K1G,35,Ontario,35.6769,
K1H,2021A0011K1H,35,Ontario,6.8364,
K1J,2021A0011K1J,35,Ontario,12.6424,
K1K,2021A0011K1K,35,Ontario,13.4204,
K1L,2021A0011K1L,35,Ontario,3.3005,
K1M,2021A0011K1M,35,Ontario,2.7892,
K1N,2021A0011K1N,35,Ontario,4.1394,
K1P,2021A0011K1P,35,Ontario,0.4258,
K1R,2021A0011K1R,35,Ontario,3.7073,
K1S,2021A0011K1S,35,Ontario,6.3408,
K1T,2021A0011K1T,35,Ontario,46.4052,
K1V,2021A0011K1V,35,Ontario,34.9793,
K1W,2021A0011K1W,35,Ontario,10.0267,
K1X,2021A0011K1X,35,Ontario,35.8594,
K1Y,2021A0011K1Y,35,Ontario,5.7765,
K1Z,2021A0011K1Z,35,Ontario,6.621,
K2A,2021A0011K2A,35,Ontario,5.0035,
K2B,2021A0011K2B,35,Ontario,7.9454,
K2C,2021A0011K2C,35,Ontario,13.15,
K2E,2021A0011K2E,35,Ontario,10.7391,
K2G,2021A0011K2G,35,Ontario,28.2119,
K2H,2021A0011K2H,35,Ontario,17.2193,
K2J,2021A0011K2J,35,Ontario,32.134,
K2K,2021A0011K2K,35,Ontario,15.3888,
K2L,2021A0011K2L,35,Ontario,6.4717,
K2M,2021A0011K2M,35,Ontario,9.1575,
K2P,2021A0011K2P,35,Ontario,1.3093,
K2R,2021A0011K2R,35,Ontario,67.4299,
K2S,2021A0011K2S,35,Ontario,132.0912,
K2T,2021A0011K2T,35,Ontario,11.7509,
K2V,2021A0011K2V,35,Ontario,2.3724,
K2W,2021A0011K2W,35,Ontario,64.675,
K4A,2021A0011K4A,35,Ontario,32.7591,
K4B,2021A0011K4B,35,Ontario,161.02,
K4C,2021A0011K4C,35,Ontario,27.9819,
K4K,2021A0011K4K,35,Ontario,54.1,
K4M,2021A0011K4M,35,Ontario,54.8823,
K4P,2021A0011K4P,35,Ontario,60.4823,
K4R,2021A0011K4R,35,Ontario,88.1735,
K6A,2021A0011K6A,35,Ontario,107.9393,
K6H,2021A0011K6H,35,Ontario,75.7605,
K6J,2021A0011K6J,35,Ontario,25.6513,
K6K,2021A0011K6K,35,Ontario,12.7954,
K6T,2021A0011K6T,35,Ontario,24.7581,
K6V,2021A0011K6V,35,Ontario,232.9388,
K7A,2021A0011K7A,35,Ontario,354.561,
K7C,2021A0011K7C,35,Ontario,210.6034,
K7G,2021A0011K7G,35,Ontario,136.9739,
K7H,2021A0011K7H,35,Ontario,621.91,
K7K,2021A0011K7K,35,Ontario,28.8285,
K7L,2021A0011K7L,35,Ontario,140.8027,
K7M,2021A0011K7M,35,Ontario,44.1686,
K7N,2021A0011K7N,35,Ontario,3.9663,
K7P,2021A0011K7P,35,Ontario,29.7964,
